experiment,condition,sub_name,left,right,response,RT
1,hum,113,1,2,3,4.218810909145759
1,hum,113,1,2,3,5.378183632945365
1,hum,113,3,4,4,3.9328757760531516
1,hum,113,4,2,3,2.64798943891401
1,hum,113,1,2,3,2.4763105218617056
1,hum,113,2,3,3,1.9894684208175022
1,hum,113,4,2,4,6.32570598881739
1,hum,113,2,4,3,2.8176955290819024
1,hum,113,2,3,3,3.4510310113246305
1,hum,113,2,1,3,2.6961118536073627
1,hum,113,3,4,4,1.8554778420202638
1,hum,113,1,4,4,1.8778441373751775
1,hum,113,1,2,3,2.091284698067284
1,hum,113,4,3,4,1.8111006231511055
1,hum,113,2,3,3,1.7441431802126317
1,hum,113,3,2,3,1.6518725498017375
1,hum,113,2,3,3,1.4727808584157174
1,hum,113,2,3,3,1.5756087266236136
1,hum,113,2,4,3,2.114166410882717
1,hum,113,1,4,3,2.5255205411658608
1,hum,113,4,1,3,1.5183268272703572
1,hum,113,2,1,3,3.8823562051038607
1,hum,113,2,3,3,4.078221896357718
1,hum,113,2,1,3,1.9188353810513945
1,hum,113,4,1,4,2.6662622227222528
1,hum,113,2,3,3,2.1734493615977044
1,hum,113,4,2,3,3.4554356335966077
1,hum,113,2,1,2,2.5432423061829468
1,hum,113,4,3,2,5.44982890513711
1,hum,113,1,3,2,3.552882248439346
1,hum,113,4,2,2,3.5381115450627476
1,hum,113,3,1,4,2.9627186715515563
1,hum,113,2,3,3,5.60157075636198
1,hum,113,3,4,4,1.8856966362518506
1,hum,113,2,1,3,1.798453170297762
1,hum,113,4,1,4,2.3212603127594775
1,hum,113,3,2,3,2.2887925407840157
1,hum,113,3,1,4,2.54621036665867
1,hum,113,1,4,4,2.1048292403029336
1,hum,113,3,2,4,2.2324029198225617
1,hum,113,3,2,3,1.6403181540163132
1,hum,113,4,3,4,1.7529626882023877
1,hum,113,1,2,3,1.958090819314748
1,hum,113,3,1,4,1.9516338284483936
1,hum,113,2,4,3,3.141593547627963
1,hum,113,1,2,3,1.8719971801174324
1,hum,113,1,2,2,1.685096288769273
1,hum,113,2,3,2,1.9213589059936567
1,hum,113,1,3,2,2.399022599147429
1,hum,113,2,3,3,1.6121103538607713
1,hum,113,4,1,4,1.3512513867681264
1,hum,113,2,4,3,3.2189494656749957
1,hum,113,2,1,3,1.576282906774395
1,hum,113,2,1,3,1.490037881740136
1,hum,113,3,1,4,1.647255602479163
1,hum,113,3,4,4,2.6781758391407493
1,hum,113,3,1,4,1.786580286933713
1,hum,113,1,3,4,1.2371115967007427
1,hum,113,3,2,3,1.3337416260701502
1,hum,113,4,2,2,1.4116678068712645
1,hum,113,3,1,1,3.103650868335535
1,hum,113,2,1,3,2.2478660851138557
1,hum,113,1,3,2,2.610316816560953
1,hum,113,4,3,4,1.855505745766095
1,hum,113,1,3,4,3.40297595049924
1,hum,113,1,4,4,2.0847459203596372
1,hum,113,3,4,4,1.8874378941209216
1,hum,113,4,1,4,2.5628733930088856
1,hum,113,2,3,3,2.2532293774474965
1,hum,113,3,1,4,2.661090087082812
1,hum,113,4,3,4,3.519533102983587
1,hum,113,1,3,2,3.438870430721181
1,hum,113,1,3,2,3.4773994094020964
1,hum,113,4,2,3,3.521017133220994
1,hum,113,1,4,4,1.5920491644747017
1,hum,113,1,4,4,1.4675487457589043
1,hum,113,1,4,4,1.184022315299444
1,hum,113,2,1,3,2.227013968871688
1,hum,113,3,2,3,1.4373514406188406
1,hum,113,4,1,4,2.4202393884779667
1,hum,113,4,1,4,2.6074744833076693
1,hum,113,1,3,1,2.6698342228855836
1,hum,113,4,1,1,1.6170028105807432
1,hum,113,1,4,4,2.138864112286683
1,hum,113,4,1,4,3.527515819338987
1,hum,113,4,3,4,1.7484470924136986
1,hum,113,3,2,3,1.9765072913769473
1,hum,113,1,4,4,1.7955595198118317
1,hum,113,4,1,4,1.6315441900705991
1,hum,113,4,1,4,1.3214941269025076
1,hum,113,2,4,3,2.9949564781754816
1,hum,113,4,2,3,1.7766943426913713
1,hum,113,1,4,4,3.934128558008524
1,hum,113,3,1,2,2.665353586961828
1,hum,113,2,4,4,1.491533779087149
1,hum,113,4,1,4,1.287084639116074
1,hum,113,3,2,3,1.9335890855945763
1,hum,113,1,2,3,1.9778338418554995
1,hum,113,2,1,3,1.658651877040029
1,hum,113,4,3,4,1.5328428688771965
1,hum,113,2,3,2,1.8340509727668177
1,hum,113,2,1,2,2.0423235673424642
1,hum,113,1,4,4,1.6140546355336483
1,hum,113,1,3,1,2.2145268823715014
1,hum,113,3,4,4,1.467706546250156
1,hum,113,2,4,4,1.6509889311937513
1,hum,113,3,4,4,1.3672023865074152
1,hum,113,4,3,4,1.2949493258356597
1,hum,113,3,4,4,1.5777752760623116
1,hum,113,2,1,2,2.0177342735933053
1,hum,113,3,4,4,1.106016592785636
1,hum,113,4,3,4,1.5080723611472422
1,hum,113,3,4,4,1.397457423535343
1,hum,113,3,4,4,1.0611656517085066
1,hum,113,1,2,2,1.8153833669948654
1,hum,113,2,1,2,1.5431348607271502
1,hum,113,3,2,2,1.472477124541001
1,hum,113,3,1,1,1.9948118277234244
1,hum,113,3,1,1,1.9100713598199945
1,hum,113,4,3,4,1.3849036246328978
1,hum,113,2,4,4,1.7063130780998108
1,hum,113,1,2,2,1.995862548074001
1,hum,113,1,2,2,1.7874677543359212
1,hum,113,4,2,2,1.880237124105406
