experiment,condition,sub_name,left,right,response,RT
1,tone,122,2,3,2,3.112336951518955
1,tone,122,3,2,2,1.7382477923165425
1,tone,122,3,1,3,2.65326869927776
1,tone,122,2,1,2,2.4810993819155556
1,tone,122,3,2,3,3.564421249055158
1,tone,122,4,3,1,2.2489588214484684
1,tone,122,2,3,2,1.3266941662895988
1,tone,122,4,3,4,1.6086570248007774
1,tone,122,4,1,4,3.643679432789213
1,tone,122,2,4,4,2.7716973271089955
1,tone,122,4,2,2,2.4333333012600633
1,tone,122,3,1,4,1.7578711815567658
1,tone,122,3,1,2,4.970733140444281
1,tone,122,1,4,4,1.5871015417305898
1,tone,122,2,4,2,1.7677936893269361
1,tone,122,1,3,3,2.2745318024117296
1,tone,122,4,2,4,1.5731734031760425
1,tone,122,3,1,3,2.0029783239206154
1,tone,122,3,2,3,3.0846538700716337
1,tone,122,1,3,1,4.107739568889883
1,tone,122,4,2,4,1.4292834093630518
1,tone,122,1,4,4,1.3932462030861643
1,tone,122,3,4,4,1.6680788527773984
1,tone,122,3,2,2,1.9443945705079386
1,tone,122,1,2,2,1.3321033234005881
1,tone,122,1,3,2,4.63272641083131
1,tone,122,2,4,2,2.3440868595480424
1,tone,122,2,3,2,1.52738143233546
1,tone,122,2,4,4,3.4004976488686225
1,tone,122,2,1,2,2.1019801716629445
1,tone,122,4,3,4,1.4345068622351391
1,tone,122,3,4,4,1.1922590519588994
1,tone,122,2,4,4,1.6972405120050098
1,tone,122,2,1,2,2.190334014248947
1,tone,122,4,2,4,1.7622584842629294
1,tone,122,4,3,4,1.5631889939941175
1,tone,122,2,1,2,1.7817593536092318
1,tone,122,3,4,4,1.2500079381334217
1,tone,122,1,2,2,1.4350027150030655
1,tone,122,1,4,4,1.3322303335535253
1,tone,122,1,3,1,1.6618473370035645
1,tone,122,3,4,4,1.5519710468161065
1,tone,122,4,3,4,1.424074068729169
1,tone,122,3,2,2,1.291272125345131
1,tone,122,1,2,2,1.6409102265934052
1,tone,122,4,2,4,1.6054477733287058
1,tone,122,3,4,4,1.626424975327609
1,tone,122,2,1,2,1.7338027577243338
1,tone,122,3,1,4,3.5286868144539767
1,tone,122,1,2,2,1.9815476058738568
1,tone,122,3,2,2,3.0888269233309984
1,tone,122,3,1,1,2.4541648906088085
1,tone,122,3,4,4,1.2776053839461383
1,tone,122,2,3,2,1.7655113553810224
1,tone,122,4,1,4,1.4909295186662348
1,tone,122,1,3,1,1.836802538662596
1,tone,122,4,2,4,2.9732890593895718
1,tone,122,2,4,4,3.5033117255716206
1,tone,122,4,1,4,3.6683899635045236
1,tone,122,1,3,1,2.1762474337374442
1,tone,122,3,2,2,2.8186400869053614
1,tone,122,3,4,4,1.2601822210799583
1,tone,122,1,4,1,1.9959279775448522
1,tone,122,2,3,2,1.8479605088232347
1,tone,122,3,2,2,1.6559218002330454
1,tone,122,1,4,4,2.303900654967947
1,tone,122,1,2,2,3.70500192279178
1,tone,122,4,1,4,1.6168174270751479
1,tone,122,4,2,2,1.4405792945872236
1,tone,122,3,4,4,1.2056855645587348
1,tone,122,4,3,4,1.5817664738733583
1,tone,122,2,4,2,2.679405849074101
1,tone,122,2,3,2,2.5335988358692703
1,tone,122,2,4,4,1.987956166101867
1,tone,122,2,1,1,1.995709237839037
1,tone,122,2,1,2,1.9174369864467735
1,tone,122,2,4,4,2.5532132445932803
1,tone,122,1,4,4,1.3892976627248572
1,tone,122,1,3,3,3.133799101371551
1,tone,122,2,4,4,2.202181238995763
1,tone,122,2,1,2,2.6797002816983877
1,tone,122,3,1,1,2.1908635439503996
1,tone,122,1,4,4,1.2909902012943348
1,tone,122,3,1,1,4.102221362658383
1,tone,122,4,3,4,1.6495613499118917
1,tone,122,3,4,4,1.2452989405246626
1,tone,122,4,3,4,1.433089223670322
1,tone,122,4,2,2,1.6036818190423219
1,tone,122,3,2,2,1.609519475050547
1,tone,122,1,3,1,2.5253540808898833
1,tone,122,1,3,1,1.4771662367256795
1,tone,122,4,2,2,1.5869046118477854
1,tone,122,4,2,2,2.7838938297754794
1,tone,122,1,2,2,2.8175204090239276
1,tone,122,2,1,1,1.928390970604596
1,tone,122,2,1,2,1.65718260050744
1,tone,122,2,3,2,1.3712285441833956
1,tone,122,2,3,2,1.4786916414795996
1,tone,122,4,1,4,1.4993086606482393
1,tone,122,3,1,1,2.6997383783309488
1,tone,122,3,2,2,1.8063961157986341
1,tone,122,4,3,4,1.415558936078014
1,tone,122,1,4,4,3.838713143401037
1,tone,122,3,2,2,1.5840247528667533
1,tone,122,1,2,2,1.727083407502505
1,tone,122,2,3,2,2.3664323072789557
1,tone,122,4,1,4,1.5064799232550286
1,tone,122,1,2,2,2.0471226908448443
1,tone,122,2,1,2,1.8044653049000772
1,tone,122,2,3,2,1.6869761031684902
1,tone,122,2,4,4,3.1848963119282416
1,tone,122,1,4,1,1.6227448882436875
1,tone,122,3,4,4,1.848902500783879
1,tone,122,2,3,2,1.490773001105481
1,tone,122,1,3,3,1.9296626757895865
1,tone,122,3,1,4,1.921617095824331
1,tone,122,1,2,2,1.7006441274952522
1,tone,122,1,4,4,1.9484325952944346
1,tone,122,2,4,2,2.4559908219125646
1,tone,122,2,1,2,1.256162157325889
1,tone,122,1,3,1,1.4341530940600933
1,tone,122,4,3,4,1.3183711525307444
1,tone,122,3,4,4,1.3473166379135364
1,tone,122,1,2,2,1.9544161846861243
1,tone,122,1,4,4,1.414359395752399
1,tone,122,4,1,4,2.5560693693514622
1,tone,122,3,1,1,2.15008879484958
1,tone,122,2,1,2,1.748630872256399
1,tone,122,2,3,2,1.3399327295228431
1,tone,122,1,3,3,2.7174639921395283
1,tone,122,4,1,4,1.3674913666764041
1,tone,122,1,3,1,1.7287659712856112
1,tone,122,2,4,2,1.755655880746417
1,tone,122,2,4,2,1.586441153083797
1,tone,122,2,3,2,1.4395378754852572
1,tone,122,4,2,4,2.809661495493856
1,tone,122,4,1,4,1.4145264974922611
