experiment,condition,sub_name,left,right,response,RT
2,di,230,4,3,4,1.5329280782025307
2,di,230,1,4,1,1.8906494206748903
2,di,230,2,1,1,1.429100819164887
2,di,230,4,2,4,1.830474063870497
2,di,230,4,1,4,1.8277908226009458
2,di,230,1,4,1,1.4264015413355082
2,di,230,3,2,3,1.895782089792192
2,di,230,2,3,1,2.4970561643131077
2,di,230,2,3,1,1.3689357256516814
2,di,230,2,1,1,1.2916666533565149
2,di,230,4,1,4,1.300200040335767
2,di,230,4,1,4,1.108144948957488
2,di,230,2,1,1,1.5578300064662471
2,di,230,3,1,3,1.3290107254870236
2,di,230,1,3,1,1.3810516855446622
2,di,230,3,2,1,2.4900664588203654
2,di,230,3,2,1,1.904819666990079
2,di,230,2,3,1,1.4820077546173707
2,di,230,1,3,3,1.8135917104082182
2,di,230,3,1,3,1.3604793142294511
2,di,230,3,4,4,1.6523044089553878
2,di,230,3,1,1,2.544033412472345
2,di,230,2,4,4,1.5865181721746922
2,di,230,1,4,4,1.1023021799046546
2,di,230,3,4,3,1.5206094158347696
2,di,230,2,1,1,1.9410851186839864
2,di,230,1,4,4,1.6566580208018422
2,di,230,3,4,3,1.3656219259137288
2,di,230,1,2,1,1.587897959863767
2,di,230,2,1,1,1.2581797001184896
2,di,230,2,4,1,1.534539113403298
2,di,230,2,3,3,1.5070196938468143
2,di,230,3,2,3,2.1846176446415484
2,di,230,4,1,4,1.2523038958897814
2,di,230,4,3,4,1.5131597811123356
2,di,230,1,3,4,1.8502263242844492
2,di,230,2,1,1,1.53936837031506
2,di,230,2,1,1,1.3529462893493474
2,di,230,2,1,1,1.1146901202155277
2,di,230,2,3,3,1.8425605164375156
2,di,230,3,1,1,2.1103002657182515
2,di,230,3,4,3,1.4700813471572474
2,di,230,1,2,1,1.3207692044088617
2,di,230,3,2,3,2.0090039004571736
2,di,230,4,1,4,1.8760003219358623
2,di,230,3,1,3,1.4226226806640625
2,di,230,1,3,1,1.9961525027174503
2,di,230,3,4,4,1.7463124676141888
2,di,230,1,3,1,1.4444978639949113
2,di,230,4,3,3,1.876197251258418
2,di,230,1,2,1,1.2562235576333478
2,di,230,4,2,1,3.174456864944659
2,di,230,3,4,4,2.1782812695018947
2,di,230,1,2,1,1.6428909341339022
2,di,230,1,3,1,1.4024845799431205
2,di,230,4,2,4,1.2720510244835168
2,di,230,4,2,4,1.2633502155076712
2,di,230,4,3,4,1.8802836935501546
2,di,230,4,3,4,1.5974564052885398
2,di,230,3,4,4,1.5237429643748328
2,di,230,1,4,1,1.3795153808314353
2,di,230,3,4,3,2.9208536851219833
2,di,230,4,1,4,1.802324085845612
2,di,230,4,2,4,1.211433378746733
2,di,230,1,2,1,1.5122168300440535
2,di,230,2,4,4,2.261235310928896
2,di,230,2,4,2,1.8571047359146178
2,di,230,4,1,1,1.8235995010472834
2,di,230,2,3,1,1.942597689339891
2,di,230,2,1,1,1.096749993856065
2,di,230,1,3,1,1.3843738242285326
2,di,230,1,3,3,1.19307822547853
2,di,230,1,3,3,1.3882280569523573
2,di,230,4,3,4,1.5869925343431532
2,di,230,4,1,1,1.8528139875270426
2,di,230,4,2,1,1.3112274368759245
2,di,230,2,4,2,1.7011274680262432
2,di,230,3,2,3,1.5101580533664674
2,di,230,3,4,3,1.3385473613161594
2,di,230,2,4,2,1.6443047194043174
2,di,230,3,1,3,1.2357753094984218
2,di,230,1,2,1,1.3852747596101835
2,di,230,3,1,3,1.1741630748147145
2,di,230,4,2,4,1.237315142294392
2,di,230,3,1,3,1.1813577277353033
2,di,230,2,4,2,1.907898691133596
2,di,230,1,2,1,1.3815234818030149
2,di,230,1,4,2,1.6675154296681285
2,di,230,3,2,3,1.2294113516109064
2,di,230,3,2,3,1.1518965986324474
2,di,230,2,4,2,1.562070079264231
2,di,230,1,3,3,1.8969543640268967
2,di,230,4,1,4,1.2023598795058206
2,di,230,1,3,3,1.8818658629897982
2,di,230,3,2,3,1.266160145867616
2,di,230,1,4,2,1.7573639191687107
2,di,230,1,4,2,3.361943454365246
2,di,230,4,3,4,1.7210654321825132
2,di,230,2,4,2,1.6601527131861076
2,di,230,2,1,1,1.6915937189478427
2,di,230,2,3,1,2.8545732006896287
2,di,230,2,4,2,1.7288954545510933
2,di,230,1,4,2,1.375075813033618
2,di,230,4,1,4,1.7486730528762564
2,di,230,1,2,2,1.453889208380133
2,di,230,2,1,2,1.2923520568292588
2,di,230,1,2,2,1.1737682539969683
2,di,230,1,2,2,2.193587868125178
2,di,230,4,3,3,1.6058688765624538
2,di,230,2,4,2,1.7591311507858336
2,di,230,4,1,4,2.214038040721789
2,di,230,1,2,2,1.4683375291060656
2,di,230,4,3,3,1.6699337464524433
2,di,230,3,4,4,1.9222992227878422
2,di,230,2,4,4,1.3952928136568516
2,di,230,2,3,3,1.3911614688113332
2,di,230,1,4,2,1.4231409830972552
2,di,230,4,2,2,1.2407383115496486
2,di,230,3,1,3,1.2269510187907144
2,di,230,2,4,2,1.9495100983185694
2,di,230,2,4,2,1.3282303854357451
2,di,230,2,3,3,1.2925861910916865
2,di,230,3,1,3,1.1135008472483605
2,di,230,1,4,2,1.1631481867516413
2,di,230,4,3,3,1.2962588894879445
2,di,230,3,1,3,1.0689842524006963
2,di,230,4,2,2,1.3044936753576621
2,di,230,3,2,3,1.581051621469669
2,di,230,4,2,2,1.6450026315869763
2,di,230,4,1,1,1.664515305426903
2,di,230,4,2,2,1.48619939701166
2,di,230,3,4,4,1.6406814137008041
2,di,230,3,4,4,1.1045056065777317
2,di,230,1,2,2,1.3435581523226574
2,di,230,2,1,2,1.2944117957958952
2,di,230,2,3,3,1.1372914402745664
2,di,230,2,4,4,1.1011606958927587
2,di,230,1,4,4,1.9155606501735747
